,WeekID,Week Position,Song,Performer,Previous Week Position,Peak Position,Weeks on Chart,Date,Song ID,Link,Artist
164632,1/22/05,4,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,3,1,17,,Drop It Like It's Hot Snoop Dogg Featuring Pharrell,spotify:track:45euROxELkNSxSsti0aja5,Studio Group
164633,3/11/06,4,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",3,1,17,,"Grillz Nelly Featuring Paul Wall, Ali & Gipp",,
164634,1/19/08,4,Kiss Kiss,Chris Brown Featuring T-Pain,4,1,17,,Kiss Kiss Chris Brown Featuring T-Pain,,
164635,1/31/09,4,Live Your Life,T.I. Featuring Rihanna,4,1,17,,Live Your Life T.I. Featuring Rihanna,spotify:track:1Mfw0f44fhLSMG9RlYaOeM,DJ Cover This
164636,1/16/10,4,Empire State Of Mind,Jay-Z + Alicia Keys,5,1,17,,Empire State Of Mind Jay-Z + Alicia Keys,spotify:track:6sLeKXRd18llTYeqiCT0lK,Done Again
164659,5/20/78,5,If I Can't Have You,Yvonne Elliman,1,1,17,,If I Can't Have You Yvonne Elliman,spotify:track:0QjPiq9Wka9I1b4uzWETYI,Yvonne Elliman
164660,10/17/09,5,I Gotta Feeling,The Black Eyed Peas,1,1,17,,I Gotta Feeling The Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,Black Eyed Peas
164661,4/2/77,5,Evergreen (Love Theme From A Star Is Born),Barbra Streisand,2,1,17,,Evergreen (Love Theme From A Star Is Born) Barbra Streisand,spotify:track:2IcqY68BxP1ONPi3ME6aje,Barbra Streisand
164662,10/31/81,5,Endless Love,Diana Ross & Lionel Richie,2,1,17,,Endless Love Diana Ross & Lionel Richie,spotify:track:7j0XV1iJznHO5hFF1esjC5,Easter Celebration
164663,10/13/79,5,My Sharona,The Knack,4,1,17,,My Sharona The Knack,spotify:track:1HOMkjp0nHMaTnfAkslCQj,The Knack
164664,10/14/95,5,Kiss From A Rose,Seal,4,1,17,,Kiss From A Rose Seal,spotify:track:3YKptz29AsOlm7WAVnztBh,Seal
164665,6/5/10,5,Nothin' On You,B.o.B Featuring Bruno Mars,4,1,17,,Nothin' On You B.o.B Featuring Bruno Mars,spotify:track:7HMKmZQEIduuNio1nPwjqp,"""Weird Al"" Yankovic"
164666,6/6/64,5,"Hello, Dolly!",Louis Armstrong And The All Stars,5,1,17,,"Hello, Dolly! Louis Armstrong And The All Stars",spotify:track:63kd4m3VFxcJjPVVtbVNAu,Louis Armstrong
164667,12/9/95,5,Gangsta's Paradise (From Dangerous Minds),Coolio Featuring L.V.,5,1,17,,Gangsta's Paradise (From Dangerous Minds) Coolio Featuring L.V.,,
164668,12/26/09,5,Fireflies,Owl City,5,1,17,,Fireflies Owl City,spotify:track:3DamFFqW32WihKkTVlwTYQ,Owl City
164705,10/28/78,6,Kiss You All Over,Exile,1,1,17,,Kiss You All Over Exile,spotify:track:3FGcQkWQlkeB82RdZwlw8V,Exile
164706,1/21/06,6,Laffy Taffy,D4L,1,1,17,,Laffy Taffy D4L,spotify:track:2ajhenDRiiAnCHHjsIOHhJ,D4L
164707,2/13/88,6,Need You Tonight,INXS,3,1,17,,Need You Tonight INXS,spotify:track:5eU8qMd0TpaLqTGDZJaLDs,INXS
164708,8/26/00,6,It's Gonna Be Me,'N Sync,4,1,17,,It's Gonna Be Me 'N Sync,spotify:track:2AW37v0bDyuOzGP3XnmFuA,*NSYNC
164709,1/1/05,6,My Boo,Usher And Alicia Keys,4,1,17,,My Boo Usher And Alicia Keys,spotify:track:4Wi5IV9vp93eTrubVPrbsY,"Tony Yayo,Joe"
164710,1/13/07,6,My Love,Justin Timberlake Featuring T.I.,5,1,17,,My Love Justin Timberlake Featuring T.I.,,
164711,2/5/83,6,Maneater,Daryl Hall John Oates,6,1,17,,Maneater Daryl Hall John Oates,spotify:track:7j74lucZ59vqN67Ipe2ZcY,Daryl Hall & John Oates
164712,6/21/08,6,Love In This Club,Usher Featuring Young Jeezy,6,1,17,,Love In This Club Usher Featuring Young Jeezy,,
164744,2/17/79,7,Le Freak,Chic,3,1,17,,Le Freak Chic,spotify:track:7Kszjzps0xbQXyo1pO4KfE,CHIC
164745,3/6/82,7,I Can't Go For That (No Can Do),Daryl Hall John Oates,3,1,17,,I Can't Go For That (No Can Do) Daryl Hall John Oates,spotify:track:41dDygR3r7e926oGUXfrLt,Daryl Hall & John Oates
164746,3/11/95,7,On Bended Knee,Boyz II Men,3,1,17,,On Bended Knee Boyz II Men,spotify:track:7MYmo0JJJDmu4MZTSAF9y3,Boyz II Men
164747,10/13/84,7,Missing You,John Waite,4,1,17,,Missing You John Waite,spotify:track:1Qrdlkgg9I4J7r3P4kZNwr,John Waite
164748,6/22/13,7,Just Give Me A Reason,P!nk Featuring Nate Ruess,4,1,17,,Just Give Me A Reason P!nk Featuring Nate Ruess,,
164749,11/13/82,7,Jack & Diane,John Cougar,5,1,17,,Jack & Diane John Cougar,spotify:track:43btz2xjMKpcmjkuRsvxyg,John Mellencamp
164750,3/9/91,7,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,5,1,17,,Gonna Make You Sweat (Everybody Dance Now) C+C Music Factory,spotify:track:7eheoW4hxrH51ww2QePVwF,C & C Music Factory
164751,3/3/01,7,Ms. Jackson,OutKast,5,1,17,,Ms. Jackson OutKast,spotify:track:0I3q5fE6wg7LIfHGngUTnV,Outkast
164752,2/1/97,7,No Diggity,BLACKstreet (Featuring Dr. Dre),6,1,17,,No Diggity BLACKstreet (Featuring Dr. Dre),spotify:track:138a7rJxyR3qKsLSPNO4uH,Studio Group
164753,3/5/16,7,Hello,Adele,6,1,17,,Hello Adele,spotify:track:62PaSfnXSMyLshYJrlTuL3,Adele
164754,5/19/07,7,Glamorous,Fergie Featuring Ludacris,7,1,17,,Glamorous Fergie Featuring Ludacris,,
164755,7/7/07,7,Girlfriend,Avril Lavigne,7,1,17,,Girlfriend Avril Lavigne,spotify:track:45hOioMDJktr86iKDHC8gr,Avril Lavigne
164783,2/8/75,8,Laughter In The Rain,Neil Sedaka,1,1,17,,Laughter In The Rain Neil Sedaka,spotify:track:2ozTcQyZQmm9tSmc4VZfwU,Neil Sedaka
164784,8/7/76,8,Kiss And Say Goodbye,The Manhattans,1,1,17,,Kiss And Say Goodbye The Manhattans,spotify:track:0rHiGIRASJq8snJGFJMpnI,The Manhattans
164785,6/18/77,8,I'm Your Boogie Man,KC And The Sunshine Band,1,1,17,,I'm Your Boogie Man KC And The Sunshine Band,spotify:track:6mjlbRIgMTf2nqY0kq1rOJ,KC & The Sunshine Band
164786,2/26/83,8,Down Under,Men At Work,2,1,17,,Down Under Men At Work,spotify:track:46RVKt5Edm1zl0rXhPJZxz,Men At Work
164787,3/22/69,8,Everyday People,Sly & The Family Stone,3,1,17,,Everyday People Sly & The Family Stone,spotify:track:7lL2lMWNtzOcf5HnEudNgn,Sly & The Family Stone
164788,8/7/10,8,OMG,Usher Featuring will.i.am,5,1,17,,OMG Usher Featuring will.i.am,,
164789,11/3/73,8,Let's Get It On,Marvin Gaye,6,1,17,,Let's Get It On Marvin Gaye,spotify:track:0jHkgTtTaqg5LNCiYDQPUB,Marvin Gaye
164790,12/17/83,8,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,6,1,17,,Islands In The Stream Kenny Rogers Duet With Dolly Parton,spotify:track:6gnbVIlTcXlVXYNbHZbpOZ,The Karaoke Channel
164791,4/11/92,8,I'm Too Sexy,Right Said Fred,6,1,17,,I'm Too Sexy Right Said Fred,spotify:track:2WElktskrNJEwgpp5Vouxk,Right Said Fred
164818,4/14/90,5,Love Will Lead You Back,Taylor Dayne,1,1,12,,Love Will Lead You Back Taylor Dayne,spotify:track:3HLgjHYaEhKFvV4SSvI9Te,Taylor Dayne
164819,8/15/59,5,Lonely Boy,Paul Anka,2,1,12,,Lonely Boy Paul Anka,spotify:track:4kh2S9hRpPvoF9JkwZcYGN,Paul Anka
164820,12/4/71,5,"Gypsys, Tramps & Thieves",Cher,2,1,12,,"Gypsys, Tramps & Thieves Cher",spotify:track:6fsSZbNL7XP9gf1kJ2l155,Cher
164821,6/24/72,5,I'll Take You There,The Staple Singers,2,1,12,,I'll Take You There The Staple Singers,spotify:track:5YLnfy7R2kueN0BRPkjiEG,The Staple Singers
164822,10/20/84,5,Let's Go Crazy,Prince And The Revolution,2,1,12,,Let's Go Crazy Prince And The Revolution,spotify:track:0QeI79sp1vS8L3JgpEO7mD,Prince
164823,2/23/85,5,I Want To Know What Love Is,Foreigner,2,1,12,,I Want To Know What Love Is Foreigner,spotify:track:1JLn8RhQzHz3qDqsChcmBl,Foreigner
164824,8/23/86,5,Glory Of Love (Theme From The Karate Kid Part II),Peter Cetera,2,1,12,,Glory Of Love (Theme From The Karate Kid Part II) Peter Cetera,,
164825,11/19/88,5,Kokomo (FromCocktail ),The Beach Boys,2,1,12,,Kokomo (FromCocktail ) The Beach Boys,,
164826,9/18/99,5,Genie In A Bottle,Christina Aguilera,4,1,12,,Genie In A Bottle Christina Aguilera,spotify:track:11mwFrKvLXCbcVGNxffGyP,Christina Aguilera
164827,11/20/99,5,Heartbreaker,Mariah Carey Featuring Jay-Z,4,1,12,,Heartbreaker Mariah Carey Featuring Jay-Z,,
164828,1/3/70,5,Na Na Hey Hey Kiss Him Goodbye,Steam,5,1,12,,Na Na Hey Hey Kiss Him Goodbye Steam,spotify:track:1mrSHPNTDdMkXpR4BiSiD7,Steam
164829,7/31/99,5,If You Had My Love,Jennifer Lopez,5,1,12,,If You Had My Love Jennifer Lopez,spotify:track:3x4yV0hW5Ve3TKhFkXSqFn,Jennifer Lopez
164906,5/18/91,6,Joyride,Roxette,1,1,12,,Joyride Roxette,spotify:track:3Skwc4sh1QHUGcWrFBFWSF,Roxette
164907,9/11/71,6,How Can You Mend A Broken Heart,Bee Gees,2,1,12,,How Can You Mend A Broken Heart Bee Gees,spotify:track:2cX2coZS1PYBfPs8wgbdWE,Bee Gees
164908,1/16/65,6,Mr. Lonely,Bobby Vinton,3,1,12,,Mr. Lonely Bobby Vinton,spotify:track:5KG2ahk1cONbHvg3dBdTbx,Bobby Vinton
164909,7/31/65,6,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,3,1,12,,I Can't Help Myself (Sugar Pie Honey Bunch) Four Tops,spotify:track:6b6IMqP565TbtFFZg9iFf3,Four Tops
164910,12/16/67,6,Incense And Peppermints,Strawberry Alarm Clock,3,1,12,,Incense And Peppermints Strawberry Alarm Clock,spotify:track:16iApoNZYaN6gbMtRRVV6B,Strawberry Alarm Clock
164911,10/4/69,6,Honky Tonk Women,The Rolling Stones,3,1,12,,Honky Tonk Women The Rolling Stones,spotify:track:3RZMzCvYsmJ0u2ioKTOsmJ,The Rolling Stones
164912,8/8/70,6,Mama Told Me (Not To Come),Three Dog Night,3,1,12,,Mama Told Me (Not To Come) Three Dog Night,spotify:track:1CAO7hiNOxJRPW4nFv2aRO,Three Dog Night
164913,2/13/71,6,My Sweet Lord/Isn't It A Pity,George Harrison,3,1,12,,My Sweet Lord/Isn't It A Pity George Harrison,,
164914,6/14/86,6,Greatest Love Of All,Whitney Houston,3,1,12,,Greatest Love Of All Whitney Houston,spotify:track:6yJxCltgtmGxIgKOS6ndnu,Whitney Houston
