,WeekID,Week Position,Song,Performer,Previous Week Position,Peak Position,Weeks on Chart,Date,Song ID,Link,Artist
23,7/30/66,12,Paperback Writer,The Beatles,6,1,8,,Paperback Writer The Beatles,spotify:track:0Ui8KPWZbJJQ2Y0CIQuVqX,The Beatles
24,4/15/67,12,Penny Lane,The Beatles,6,1,8,,Penny Lane The Beatles,spotify:track:1h04XMpzGzmAudoI6VHBgA,The Beatles
821,8/2/58,1,Poor Little Fool,Ricky Nelson,,1,1,,Poor Little Fool Ricky Nelson,spotify:track:5ayybTSXNwcarDtxQKqvWX,Ricky Nelson
822,12/2/95,1,One Sweet Day,Mariah Carey & Boyz II Men,,1,1,,One Sweet Day Mariah Carey & Boyz II Men,spotify:track:4NvqyP8zZjDEDiDrzOhacV,John Troutman
823,10/11/97,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,1,1,,Candle In The Wind 1997/Something About The Way You Look Tonight Elton John,spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,Elton John
824,7/1/06,1,Do I Make You Proud,Taylor Hicks,,1,1,,Do I Make You Proud Taylor Hicks,spotify:track:3lxFENvLW8nxXAbNfkZ7IJ,Taylor Hicks
825,10/24/09,1,3,Britney Spears,,1,1,,3 Britney Spears,spotify:track:6pymOcrCnMuCWdgGVTvUgP,Britney Spears
826,2/26/11,1,Born This Way,Lady Gaga,,1,1,,Born This Way Lady Gaga,spotify:track:6r2BECwMgEoRb5yLfp0Hca,Lady Gaga
827,3/3/12,1,Part Of Me,Katy Perry,,1,1,,Part Of Me Katy Perry,spotify:track:1nZzRJbFvCEct3uzu04ZoL,Katy Perry
828,9/6/14,1,Shake It Off,Taylor Swift,,1,1,,Shake It Off Taylor Swift,spotify:track:5xTtaWoae3wi06K5WfVUUH,Taylor Swift
829,2/20/16,1,Pillowtalk,Zayn,,1,1,,Pillowtalk Zayn,spotify:track:0PDUDa38GO8lMxLCRc4lL1,ZAYN
830,5/28/16,1,Can't Stop The Feeling!,Justin Timberlake,,1,1,,Can't Stop The Feeling! Justin Timberlake,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake
831,1/28/17,1,Shape Of You,Ed Sheeran,,1,1,,Shape Of You Ed Sheeran,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran
832,11/17/18,1,"Thank U, Next",Ariana Grande,,1,1,,"Thank U, Next Ariana Grande",spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande
833,2/2/19,1,7 Rings,Ariana Grande,,1,1,,7 Rings Ariana Grande,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande
834,3/16/19,1,Sucker,Jonas Brothers,,1,1,,Sucker Jonas Brothers,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers
3465,9/16/89,1,Don't Wanna Lose You,Gloria Estefan,3,1,11,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3466,9/23/89,6,Don't Wanna Lose You,Gloria Estefan,1,1,12,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3467,9/30/89,9,Don't Wanna Lose You,Gloria Estefan,6,1,13,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3468,10/7/89,22,Don't Wanna Lose You,Gloria Estefan,9,1,14,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3469,10/14/89,32,Don't Wanna Lose You,Gloria Estefan,22,1,15,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3470,10/21/89,48,Don't Wanna Lose You,Gloria Estefan,32,1,16,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3471,10/28/89,60,Don't Wanna Lose You,Gloria Estefan,48,1,17,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3472,11/4/89,84,Don't Wanna Lose You,Gloria Estefan,60,1,18,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3638,9/24/88,1,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,4,1,9,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3639,10/1/88,1,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,1,1,10,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3640,10/8/88,3,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,1,1,11,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3641,10/15/88,6,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,3,1,12,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3642,10/22/88,17,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,6,1,13,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3643,10/29/88,24,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,17,1,14,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3644,11/5/88,29,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,24,1,15,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3645,11/12/88,41,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,29,1,16,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3646,11/19/88,57,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,41,1,17,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3647,11/26/88,67,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,57,1,18,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3648,12/3/88,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,67,1,19,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3649,12/10/88,79,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,20,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3650,12/17/88,75,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,79,1,21,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3651,12/24/88,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,75,1,22,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3652,12/31/88,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,23,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3653,1/7/89,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,24,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3654,1/14/89,69,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,25,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3655,1/21/89,87,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,69,1,26,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3703,5/18/85,1,Don't You (Forget About Me),Simple Minds,3,1,13,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3704,5/25/85,2,Don't You (Forget About Me),Simple Minds,1,1,14,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3705,6/1/85,4,Don't You (Forget About Me),Simple Minds,2,1,15,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3706,6/8/85,8,Don't You (Forget About Me),Simple Minds,4,1,16,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3707,6/15/85,18,Don't You (Forget About Me),Simple Minds,8,1,17,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3708,6/22/85,27,Don't You (Forget About Me),Simple Minds,18,1,18,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3709,6/29/85,53,Don't You (Forget About Me),Simple Minds,27,1,19,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3710,7/6/85,69,Don't You (Forget About Me),Simple Minds,53,1,20,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3711,7/13/85,79,Don't You (Forget About Me),Simple Minds,69,1,21,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3712,7/20/85,98,Don't You (Forget About Me),Simple Minds,79,1,22,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3815,9/30/95,1,Fantasy,Mariah Carey,,1,1,,Fantasy Mariah Carey,spotify:track:6xkryXuiZU360Lngd4sx13,Mariah Carey
3816,11/25/95,1,Exhale (Shoop Shoop) (From Waiting To Exhale),Whitney Houston,,1,1,,Exhale (Shoop Shoop) (From Waiting To Exhale) Whitney Houston,spotify:track:1X3ypzPnyerpZuMqrDFK29,Whitney Houston
3817,6/14/97,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,,1,1,,I'll Be Missing You Puff Daddy & Faith Evans Featuring 112,spotify:track:0jKMnHAycHc9qO6R6UyhMc,"Puff Daddy & Faith Evans (Featuring 112),112"
3818,9/13/97,1,Honey,Mariah Carey,,1,1,,Honey Mariah Carey,spotify:track:5NaOWLOmVjcA3M5spRATN9,Mariah Carey
3819,2/28/98,1,My Heart Will Go On,Celine Dion,,1,1,,My Heart Will Go On Celine Dion,spotify:track:33LC84JgLvK2KuW43MfaNq,Céline Dion
3820,9/5/98,1,I Don't Want To Miss A Thing,Aerosmith,,1,1,,I Don't Want To Miss A Thing Aerosmith,spotify:track:225xvV8r1yKMHErSWivnow,Aerosmith
3821,11/14/98,1,Doo Wop (That Thing),Lauryn Hill,,1,1,,Doo Wop (That Thing) Lauryn Hill,spotify:track:0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill
3822,12/5/98,1,I'm Your Angel,R. Kelly & Celine Dion,,1,1,,I'm Your Angel R. Kelly & Celine Dion,spotify:track:21HyqCIf126MRfgfsXcvts,Done Again
3823,7/10/04,1,I Believe,Fantasia,,1,1,,I Believe Fantasia,spotify:track:2zZJnAlhgvW6DERn1tu3fb,Fantasia
3824,7/2/05,1,Inside Your Heaven,Carrie Underwood,,1,1,,Inside Your Heaven Carrie Underwood,spotify:track:3w8xlZi49MQuQkyyB5bi5e,Carrie Underwood
3825,5/22/10,1,Not Afraid,Eminem,,1,1,,Not Afraid Eminem,spotify:track:7Ie9W94M7OjPoZVV216Xus,Eminem
3826,1/29/11,1,Hold It Against Me,Britney Spears,,1,1,,Hold It Against Me Britney Spears,spotify:track:7Dyq1bhhjknLKEGg4k5NLr,Britney Spears
3827,3/2/13,1,Harlem Shake,Baauer,,1,1,,Harlem Shake Baauer,spotify:track:01XFgRZfZI7oBagNf1Loml,Baauer
3828,11/14/15,1,Hello,Adele,,1,1,,Hello Adele,spotify:track:62PaSfnXSMyLshYJrlTuL3,Adele
3829,5/20/17,1,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",,1,1,,"I'm The One DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",,
3830,2/3/18,1,God's Plan,Drake,,1,1,,God's Plan Drake,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake
3831,4/21/18,1,Nice For What,Drake,,1,1,,Nice For What Drake,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake
3832,10/19/19,1,HIGHEST IN THE ROOM,Travis Scott,,1,1,,HIGHEST IN THE ROOM Travis Scott,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott
13747,10/7/95,1,Fantasy,Mariah Carey,1,1,2,,Fantasy Mariah Carey,spotify:track:6xkryXuiZU360Lngd4sx13,Mariah Carey
13748,6/21/97,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,2,,I'll Be Missing You Puff Daddy & Faith Evans Featuring 112,spotify:track:0jKMnHAycHc9qO6R6UyhMc,"Puff Daddy & Faith Evans (Featuring 112),112"
13749,9/20/97,1,Honey,Mariah Carey,1,1,2,,Honey Mariah Carey,spotify:track:5NaOWLOmVjcA3M5spRATN9,Mariah Carey
13750,3/7/98,1,My Heart Will Go On,Celine Dion,1,1,2,,My Heart Will Go On Celine Dion,spotify:track:33LC84JgLvK2KuW43MfaNq,Céline Dion
13751,9/12/98,1,I Don't Want To Miss A Thing,Aerosmith,1,1,2,,I Don't Want To Miss A Thing Aerosmith,spotify:track:225xvV8r1yKMHErSWivnow,Aerosmith
13752,11/21/98,1,Doo Wop (That Thing),Lauryn Hill,1,1,2,,Doo Wop (That Thing) Lauryn Hill,spotify:track:0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill
13753,12/12/98,1,I'm Your Angel,R. Kelly & Celine Dion,1,1,2,,I'm Your Angel R. Kelly & Celine Dion,spotify:track:21HyqCIf126MRfgfsXcvts,Done Again
13754,3/9/13,1,Harlem Shake,Baauer,1,1,2,,Harlem Shake Baauer,spotify:track:01XFgRZfZI7oBagNf1Loml,Baauer
13755,11/21/15,1,Hello,Adele,1,1,2,,Hello Adele,spotify:track:62PaSfnXSMyLshYJrlTuL3,Adele
13756,2/10/18,1,God's Plan,Drake,1,1,2,,God's Plan Drake,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake
13757,4/28/18,1,Nice For What,Drake,1,1,2,,Nice For What Drake,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake
13758,5/3/97,1,Hypnotize,The Notorious B.I.G.,2,1,2,,Hypnotize The Notorious B.I.G.,spotify:track:7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.
13759,7/21/18,1,In My Feelings,Drake,6,1,2,,In My Feelings Drake,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake
13760,11/9/19,1,Lose You To Love Me,Selena Gomez,15,1,2,,Lose You To Love Me Selena Gomez,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez
13761,12/14/19,1,Heartless,The Weeknd,32,1,2,,Heartless The Weeknd,spotify:track:6bnF93Rx87YqUBLSgjiMU8,The Weeknd
13762,9/16/17,1,Look What You Made Me Do,Taylor Swift,77,1,2,,Look What You Made Me Do Taylor Swift,spotify:track:1P17dC1amhFzptugyAO7Il,Taylor Swift
13763,10/18/08,1,Live Your Life,T.I. Featuring Rihanna,80,1,2,,Live Your Life T.I. Featuring Rihanna,spotify:track:1Mfw0f44fhLSMG9RlYaOeM,DJ Cover This
13764,2/7/09,1,My Life Would Suck Without You,Kelly Clarkson,97,1,2,,My Life Would Suck Without You Kelly Clarkson,spotify:track:4Dm32oO01YpIubCHaAtKkN,Kelly Clarkson
13765,12/2/95,2,Exhale (Shoop Shoop) (From Waiting To Exhale),Whitney Houston,1,1,2,,Exhale (Shoop Shoop) (From Waiting To Exhale) Whitney Houston,spotify:track:1X3ypzPnyerpZuMqrDFK29,Whitney Houston
13779,7/9/05,3,Inside Your Heaven,Carrie Underwood,1,1,2,,Inside Your Heaven Carrie Underwood,spotify:track:3w8xlZi49MQuQkyyB5bi5e,Carrie Underwood
13780,5/27/17,3,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,1,2,,"I'm The One DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",,
13811,7/17/04,6,I Believe,Fantasia,1,1,2,,I Believe Fantasia,spotify:track:2zZJnAlhgvW6DERn1tu3fb,Fantasia
13812,5/29/10,6,Not Afraid,Eminem,1,1,2,,Not Afraid Eminem,spotify:track:7Ie9W94M7OjPoZVV216Xus,Eminem
13813,2/5/11,6,Hold It Against Me,Britney Spears,1,1,2,,Hold It Against Me Britney Spears,spotify:track:7Dyq1bhhjknLKEGg4k5NLr,Britney Spears
13814,10/26/19,6,HIGHEST IN THE ROOM,Travis Scott,1,1,2,,HIGHEST IN THE ROOM Travis Scott,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott
14077,9/20/58,19,Poor Little Fool,Ricky Nelson,13,1,8,,Poor Little Fool Ricky Nelson,spotify:track:5ayybTSXNwcarDtxQKqvWX,Ricky Nelson
20502,7/4/64,6,A World Without Love,Peter And Gordon,1,1,9,,A World Without Love Peter And Gordon,spotify:track:1A0j6qANKHgk7VZ6uvYO06,Peter And Gordon
20503,7/21/90,6,Step By Step,New Kids On The Block,1,1,9,,Step By Step New Kids On The Block,spotify:track:6J6RWKCPN5RFKHUKEUFjxS,New Kids On The Block
20504,7/20/74,6,Rock The Boat,The Hues Corporation,3,1,9,,Rock The Boat The Hues Corporation,spotify:track:7fu3Tv5rcoGD1PZV7s57WW,Hues Corporation
20505,6/26/71,6,Brown Sugar,The Rolling Stones,4,1,9,,Brown Sugar The Rolling Stones,spotify:track:61UuPxxYUvacEH6SHIK3sU,The Rolling Stones
20506,1/8/66,6,Over And Over,The Dave Clark Five,5,1,9,,Over And Over The Dave Clark Five,spotify:track:5pZmKhBISjmTWzjsp1uMR0,The Dave Clark Five
20507,11/28/98,6,One Week,Barenaked Ladies,6,1,9,,One Week Barenaked Ladies,spotify:track:29hBRadFZf9QTGRHZmxm65,Barenaked Ladies
20508,1/31/76,6,Convoy,C.W. McCall,7,1,9,,Convoy C.W. McCall,spotify:track:6dGWq08LXuIw6T2oUeHECh,C.W. McCall
20594,11/10/90,7,Black Cat,Janet Jackson,2,1,9,,Black Cat Janet Jackson,spotify:track:4tYpYYoOI7WDxbCnPninwE,Janet Jackson
20595,8/10/63,7,Surf City,Jan & Dean,3,1,9,,Surf City Jan & Dean,spotify:track:1Oewmmr12xuhgzvUJ9Q0cf,Jan & Dean
20596,8/29/59,7,A Big Hunk O' Love,Elvis Presley With The Jordanaires,4,1,9,,A Big Hunk O' Love Elvis Presley With The Jordanaires,spotify:track:6PUsG2iMvCjnPFLjydO1RR,Elvis Presley
20597,11/22/97,7,4 Seasons Of Loneliness,Boyz II Men,4,1,9,,4 Seasons Of Loneliness Boyz II Men,spotify:track:027tq4cWr0kRxLTfdxvM1L,Boyz II Men
20598,12/26/64,7,Ringo,Lorne Greene,5,1,9,,Ringo Lorne Greene,spotify:track:5GHbWzjRy1XfnTf5rkA8bf,Lorne Greene
20713,10/7/72,8,Black & White,Three Dog Night,2,1,9,,Black & White Three Dog Night,spotify:track:4XcUADpOth9Wroq5EVMFJq,Three Dog Night
20714,10/27/90,8,Praying For Time,George Michael,3,1,9,,Praying For Time George Michael,spotify:track:7CgRXXie9XIxVSkpKi40ID,George Michael
20715,9/16/67,8,All You Need Is Love,The Beatles,6,1,9,,All You Need Is Love The Beatles,spotify:track:68BTFws92cRztMS1oQ7Ewj,The Beatles
20716,9/12/64,8,A Hard Day's Night,The Beatles,8,1,9,,A Hard Day's Night The Beatles,spotify:track:5J2CHimS7dWYMImCHkEFaJ,The Beatles
20828,7/9/66,9,"Paint It, Black",The Rolling Stones,4,1,9,,"Paint It, Black The Rolling Stones",spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,The Rolling Stones
20829,11/16/02,9,A Moment Like This,Kelly Clarkson,5,1,9,,A Moment Like This Kelly Clarkson,spotify:track:4kvdX9zzsix7jYHsRVkVUH,Kelly Clarkson
20830,5/23/98,9,All My Life,K-Ci & JoJo,9,1,9,,All My Life K-Ci & JoJo,spotify:track:5GorFaKkP2mLREQvhSblIg,K-Ci & JoJo
20831,12/19/09,9,3,Britney Spears,10,1,9,,3 Britney Spears,spotify:track:6pymOcrCnMuCWdgGVTvUgP,Britney Spears
20949,4/15/61,10,Surrender,Elvis Presley With The Jordanaires,7,1,9,,Surrender Elvis Presley With The Jordanaires,spotify:track:366wRPrx2airjcCRkxgoS2,Elvis Presley
20950,4/28/12,10,Part Of Me,Katy Perry,9,1,9,,Part Of Me Katy Perry,spotify:track:1nZzRJbFvCEct3uzu04ZoL,Katy Perry
21040,6/26/65,11,Back In My Arms Again,The Supremes,5,1,9,,Back In My Arms Again The Supremes,spotify:track:2WjW8DjQru6Ic4KvYDqLys,The Supremes
21041,11/14/87,11,Bad,Michael Jackson,5,1,9,,Bad Michael Jackson,spotify:track:5lWFrW5T3JtxVCLDb7etPu,Michael Jackson
21155,9/28/74,12,"Can't Get Enough Of Your Love, Babe",Barry White,1,1,9,,"Can't Get Enough Of Your Love, Babe Barry White",spotify:track:3mWpUEBYnv9SIFWfixSJFx,Barry White
21551,11/8/75,16,Bad Blood,Neil Sedaka,8,1,9,,Bad Blood Neil Sedaka,spotify:track:5ABrBYbzepxzcW9pLIWw1j,Neil Sedaka
21733,3/28/09,18,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",11,1,9,,"Crack A Bottle Eminem, Dr. Dre & 50 Cent",spotify:track:7oVOivJpAkDmpP4DMkCE29,Hip Hop Beat Makers
21734,8/6/66,18,Paperback Writer,The Beatles,12,1,9,,Paperback Writer The Beatles,spotify:track:0Ui8KPWZbJJQ2Y0CIQuVqX,The Beatles
22037,4/22/67,21,Penny Lane,The Beatles,12,1,9,,Penny Lane The Beatles,spotify:track:1h04XMpzGzmAudoI6VHBgA,The Beatles
22209,5/23/64,23,Can't Buy Me Love,The Beatles,11,1,9,,Can't Buy Me Love The Beatles,spotify:track:3SdingSsFcZDZAyvcJbgAw,The Beatles
27138,10/14/95,1,Fantasy,Mariah Carey,1,1,3,,Fantasy Mariah Carey,spotify:track:6xkryXuiZU360Lngd4sx13,Mariah Carey
27139,5/10/97,1,Hypnotize,The Notorious B.I.G.,1,1,3,,Hypnotize The Notorious B.I.G.,spotify:track:7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.
27140,6/28/97,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,1,3,,I'll Be Missing You Puff Daddy & Faith Evans Featuring 112,spotify:track:0jKMnHAycHc9qO6R6UyhMc,"Puff Daddy & Faith Evans (Featuring 112),112"
27141,9/27/97,1,Honey,Mariah Carey,1,1,3,,Honey Mariah Carey,spotify:track:5NaOWLOmVjcA3M5spRATN9,Mariah Carey
27142,9/19/98,1,I Don't Want To Miss A Thing,Aerosmith,1,1,3,,I Don't Want To Miss A Thing Aerosmith,spotify:track:225xvV8r1yKMHErSWivnow,Aerosmith
27143,12/19/98,1,I'm Your Angel,R. Kelly & Celine Dion,1,1,3,,I'm Your Angel R. Kelly & Celine Dion,spotify:track:21HyqCIf126MRfgfsXcvts,Done Again
27144,2/14/09,1,My Life Would Suck Without You,Kelly Clarkson,1,1,3,,My Life Would Suck Without You Kelly Clarkson,spotify:track:4Dm32oO01YpIubCHaAtKkN,Kelly Clarkson
27145,3/16/13,1,Harlem Shake,Baauer,1,1,3,,Harlem Shake Baauer,spotify:track:01XFgRZfZI7oBagNf1Loml,Baauer
27146,11/28/15,1,Hello,Adele,1,1,3,,Hello Adele,spotify:track:62PaSfnXSMyLshYJrlTuL3,Adele
27147,9/23/17,1,Look What You Made Me Do,Taylor Swift,1,1,3,,Look What You Made Me Do Taylor Swift,spotify:track:1P17dC1amhFzptugyAO7Il,Taylor Swift
27148,2/17/18,1,God's Plan,Drake,1,1,3,,God's Plan Drake,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake
27149,5/5/18,1,Nice For What,Drake,1,1,3,,Nice For What Drake,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake
27150,7/28/18,1,In My Feelings,Drake,1,1,3,,In My Feelings Drake,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake
27151,8/16/58,1,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,2,1,3,,Nel Blu Dipinto Di Blu (Volaré) Domenico Modugno,spotify:track:006Ndmw2hHxvnLbJsBFnPx,Domenico Modugno
27152,5/1/65,1,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,2,1,3,,Mrs. Brown You've Got A Lovely Daughter Herman's Hermits,spotify:track:1GJCJpKYfzRUsYnSRy4Mfz,Herman's Hermits
27153,8/27/94,1,I'll Make Love To You,Boyz II Men,2,1,3,,I'll Make Love To You Boyz II Men,spotify:track:61sQYdFNS6sEBYCyr1q5gn,Boyz II Men
27154,3/14/98,1,Gettin' Jiggy Wit It,Will Smith,2,1,3,,Gettin' Jiggy Wit It Will Smith,spotify:track:0weAUscowxeqDtpCgtbpgp,Will Smith
27155,5/23/98,1,My All,Mariah Carey,2,1,3,,My All Mariah Carey,spotify:track:3RSpK5Y0y5tl25qvssrwJ6,Mariah Carey
27156,7/11/09,1,I Gotta Feeling,The Black Eyed Peas,2,1,3,,I Gotta Feeling The Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,Black Eyed Peas
27157,2/1/64,1,I Want To Hold Your Hand,The Beatles,3,1,3,,I Want To Hold Your Hand The Beatles,spotify:track:4pbG9SUmWIvsROVLF0zF9s,The Beatles
27158,9/28/68,1,Hey Jude,The Beatles,3,1,3,,Hey Jude The Beatles,spotify:track:0aym2LBJBk9DAYuHHutrIl,The Beatles
27159,5/24/69,1,Get Back,The Beatles With Billy Preston,3,1,3,,Get Back The Beatles With Billy Preston,spotify:track:1g9G2cZiAYqkAASTOcTQ3j,1960's Karaoke Band
27160,12/3/94,1,On Bended Knee,Boyz II Men,3,1,3,,On Bended Knee Boyz II Men,spotify:track:7MYmo0JJJDmu4MZTSAF9y3,Boyz II Men
27161,5/6/17,1,Humble.,Kendrick Lamar,3,1,3,,Humble. Kendrick Lamar,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar
27162,8/19/06,1,London Bridge,Fergie,5,1,3,,London Bridge Fergie,spotify:track:7jRoWfRlLnGYEIEn4t4kbq,Fergie
27163,11/28/92,1,I Will Always Love You,Whitney Houston,12,1,3,,I Will Always Love You Whitney Houston,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,Whitney Houston
27164,3/15/08,1,Love In This Club,Usher Featuring Young Jeezy,51,1,3,,Love In This Club Usher Featuring Young Jeezy,,
27165,3/14/98,2,My Heart Will Go On,Celine Dion,1,1,3,,My Heart Will Go On Celine Dion,spotify:track:33LC84JgLvK2KuW43MfaNq,Céline Dion
27166,11/28/98,2,Doo Wop (That Thing),Lauryn Hill,1,1,3,,Doo Wop (That Thing) Lauryn Hill,spotify:track:0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill
27167,12/9/95,2,Exhale (Shoop Shoop) (From Waiting To Exhale),Whitney Houston,2,1,3,,Exhale (Shoop Shoop) (From Waiting To Exhale) Whitney Houston,spotify:track:1X3ypzPnyerpZuMqrDFK29,Whitney Houston
27180,10/25/08,3,Live Your Life,T.I. Featuring Rihanna,1,1,3,,Live Your Life T.I. Featuring Rihanna,spotify:track:1Mfw0f44fhLSMG9RlYaOeM,DJ Cover This
27181,6/3/17,3,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",3,1,3,,"I'm The One DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",,
27195,7/16/05,4,Inside Your Heaven,Carrie Underwood,3,1,3,,Inside Your Heaven Carrie Underwood,spotify:track:3w8xlZi49MQuQkyyB5bi5e,Carrie Underwood
